#-------------------------------------------
# Food Diary Report - Detailed Report,"miércoles, septiembre 1, 2021","jueves, septiembre 30, 2021"
#-------------------------------------------

#-------------------------------------------
# Period Summary
#-------------------------------------------
Promedio Diario,Cals ( kcal),Grasa( g),Carbh( g),Prot( g)
Total,1561,"75,91",139,"74,08"
Desayuno,313,"18,97","22,12","12,93"
Almuerzo,484,"23,17","42,52","26,65"
Cena,458,"21,24","43,5","22,28"
Pasa Bocas / Otros,306,"12,53","30,86","12,21"

#-------------------------------------------
# Report Details
#-------------------------------------------
Fecha,Cals ( kcal),Grasa( g),Sat( g),Carbh( g),Fibra( g),Az&#250;car( g),Prot( g),Sod( mg),Coles( mg),Potasio( mg)
  Pastoret Yoghourt Artesanal con Leche de Vacas de Pasto Natural,120,"5,78","3,96","9,08",,"6,93","7,92",165,,
   165 g
  Eroski Nueces sin Cáscara,130,"12,6","1,28","0,56","1,22","0,46",3,0,,
   20 g
  Lindt Chocolate Negro 85%,117,"9,2","5,6","3,8",,"2,2","2,5",0,,
   20 g
 Almuerzo,374,"22,61","5,063","28,42",3,"13,29","14,69",1288,372,111
  Huevo Cocido,136,"9,3","2,864","0,99",0,"0,99","11,03",245,371,111
   2 medianos
  Gazpacho Casero,238,"13,31","2,199","27,43",3,"12,3","3,66",1043,1,
   400 g
 Cena,693,"42,84","1,478","37,6","9,5","2,83","29,69","266,14",0,95
  Italiamo Pesto Verde,32,3,"0,8","0,68",,"0,16","0,64","0,14",,
   8 g
  Eroski Tostadas de Centeno y Sésamo,229,"4,56","0,66","34,8",9,"1,62","7,8",264,,
   60 g
  Tomates,7,"0,08","0,018","1,57","0,5","1,05","0,35",2,0,95
   40 g
  Larsa Queso Arzua Ulloa,425,"35,2",,"0,55",,,"20,9",,,
   110 g
 Pasa Bocas / Otros,72,"0,23","0,039","19,06","3,3","14,34","0,36",1,0,148
  Manzana,72,"0,23","0,039","19,06","3,3","14,34","0,36",1,0,148
   1 mediana (7 cm de diámetro) (aprox. 3 por 450 g)

"miércoles, septiembre 15, 2021",1482,"89,35","41,61","115,77","5,51","62,66","51,84",1204,0,930
 Desayuno,360,"27,22","10,6","12,88","1,22","9,17","12,94",155,,
  Pastoret Yoghourt Artesanal con Leche de Vacas de Pasto Natural,113,"5,42","3,72","8,52",,"6,51","7,44",155,,
   155 g
  Eroski Nueces sin Cáscara,130,"12,6","1,28","0,56","1,22","0,46",3,0,,
   20 g
  Lindt Chocolate Negro 85%,117,"9,2","5,6","3,8",,"2,2","2,5",0,,
   20 g
 Almuerzo,402,"27,06","16,58","27,89","4,11","25,11","14,9",1025,0,930
  Eroski Canónigos,4,"0,07","0,02","0,2","0,41",0,"0,34",0,,
   17 g
  Tomates Rojos,14,"0,15","0,035","3,02","0,9","2,03","0,68",4,0,182
   77 g
  Pepino,6,"0,06","0,011","1,3","0,3","0,69","0,28",1,0,
   45 g
  Froiz Rulo de Cabra,243,"21,75","15,75","0,52",,"0,38","11,25",975,,
   75 g
  Melón ,95,"0,53","0,143","22,85","2,5","22,01","2,35",45,0,748
   280 g
  Aceite de Oliva,40,"4,5","0,621",0,0,0,0,0,0,0
   1 cucharadita
 Cena,419,"19,8","4,8",50,0,"9,2","9,8",8,,
  Cuétara Galletas Napolitanas,293,"12,6",,"40,8",0,,"3,6",0,,
   60 g
  Central Lechera Asturiana Leche UHT Entera,126,"7,2","4,8","9,2",0,"9,2","6,2",8,,
   200 ml
 Pasa Bocas / Otros,301,"15,27","9,63",25,"0,18","19,18","14,2",16,,
  Central Lechera Asturiana Leche UHT Entera,252,"14,4","9,6","18,4",0,"18,4","12,4",16,,
   400 ml
  Cola Cao Cola Cao 0%,49,"0,87","0,03","6,6","0,18","0,78","1,8",0,,
   15 g

"jueves, septiembre 16, 2021",1672,"75,6","23,41","105,41","16,85","18,57","55,62","2034,52",585,525
 Desayuno,360,"27,22","10,6","12,88","1,22","9,17","12,94",155,,
  Lindt Chocolate Negro 85%,117,"9,2","5,6","3,8",,"2,2","2,5",0,,
   20 g
  Eroski Nueces sin Cáscara,130,"12,6","1,28","0,56","1,22","0,46",3,0,,
   20 g
  Pastoret Yoghourt Artesanal con Leche de Vacas de Pasto Natural,113,"5,42","3,72","8,52",,"6,51","7,44",155,,
   155 g
 Almuerzo,439,"24,32","4,423","25,92","11,43","4,34","24,51","713,52",371,154
  Carrefour Garbanzos Cocidos,133,"2,8",0,"16,8","7,56",0,"7,56",280,,
   140 g
  Bonduelle Guisantes Tiernos y Muy Finos,34,"0,4","0,1","3,5","3,25","1,05","2,65",110,,
   50 g
  Cebollas,13,"0,02","0,008","3,03","0,4","1,28","0,28",1,0,43
   30 g
  Aceite de Oliva,88,10,"1,381",0,0,0,0,0,0,0
   10 g
  Orlando Tomate Frito,13,"0,6","0,07","1,58","0,22","1,02","0,19","77,52",,
   17 g
  Serrano Jamón Serrano,22,"1,2",,"0,02",,,"2,8",,,
   10 g
  Huevo Cocido,136,"9,3","2,864","0,99",0,"0,99","11,03",245,371,111
   2 medianos
 Cena,,,,,,,,,,
 Pasa Bocas / Otros,873,"24,06","8,387","66,61","4,2","5,06","18,17",1166,214,371
  Bocadillo de Jamón,274,"10,18","4,92","34,47","2,3","0,16","10,46",765,32,
   100 g
  Vino Blanco de Mesa,366,0,0,"11,47",0,"4,23","0,31",22,0,313
   3 porciones de 150 ml
  Huevo Frito,78,"5,88","1,635","0,37",0,"0,33","5,42",207,182,58
   1 mediano
  Patatas Fritas,155,8,"1,832","20,3","1,9","0,34","1,98",172,0,
   1 taza

"viernes, septiembre 17, 2021",2002,"107,42","35,706","210,04","10,4","64,73","49,54",2113,365,116
 Desayuno,,,,,,,,,,
 Almuerzo,1184,"67,62","21,406","117,94","9,4","29,93","30,74",1269,365,116
  Patatas Fritas,682,"35,07","8,036","89,05","8,4","1,47","8,69",755,0,
   250 g
  Huevo Frito,155,"11,75","3,27","0,74",0,"0,66","10,85",414,365,116
   2 medianos
  Serrano Jamón Serrano,55,3,,"0,05",,,7,,,
   25 g
  Hacendado Almendrado,292,"17,8","10,1","28,1",1,"27,8","4,2",100,,
"   1 helado, 90 g"
 Cena,526,22,"4,2",64,0,7,"14,6",744,0,0
  Hacendado Empanada Boloñesa,526,22,"4,2",64,0,7,"14,6",744,0,0
   200 g
 Pasa Bocas / Otros,292,"17,8","10,1","28,1",1,"27,8","4,2",100,,
  Hacendado Almendrado,292,"17,8","10,1","28,1",1,"27,8","4,2",100,,
"   1 helado, 90 g"

"sábado, septiembre 18, 2021",1933,"77,33","35,94","233,4","28,05","89,72","72,41","2141,05",417,111
